sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
161,"Illinois-Chicago Flames",32,79.2,100,73.3,0.926,60.3,26.7,33.6,44.3,50.2,13.5,12.7,0.3,8.5,42.6,38.5,19.5,19,50.6,21.8,7.2,14.6,33,0.36
161,"Hampton Pirates",33,74.6,100,69.1,0.926,52.7,23.8,28.9,45.2,51.3,16.3,15.4,0.4,11,43.3,33.3,17.5,15.8,52.5,19.5,6.4,13.1,32.9,0.37
161,"Houston Christian Huskies",32,74.5,100,68.9,0.926,55.8,26,29.8,46.6,51.7,15.1,12.2,0.29,10,43.4,38.2,20.4,17.8,53.4,17.7,5.7,12,32,0.32
165,"Brigham Young Cougars",36,78.1,100,72.2,0.925,59.1,25.3,33.8,42.8,51,14.2,11.6,0.28,8.1,41.1,31.7,15.6,16.1,49.2,27.4,9.7,17.7,35.3,0.46
165,"North Carolina Tar Heels",37,80.6,100,74.6,0.925,61.6,26.5,35.1,43.1,49.5,12.9,12.8,0.3,9.1,42.1,38.1,18.6,19.5,48.9,23.5,7.9,15.6,33.5,0.38
165,"Ohio State Buckeyes",32,79.7,100,73.7,0.925,57.9,24.8,33.1,42.9,48.6,14.2,16,0.4,11.1,42.8,36.1,18.2,17.9,50.4,21.8,6.6,15.2,30.4,0.38
168,"Texas State Bobcats",31,79.4,100,73.4,0.924,57.3,24.5,32.8,42.8,49.3,13.9,16.2,0.41,12.1,43.2,36.5,17.1,19.4,46.8,20.8,7.5,13.4,35.8,0.36
168,"North Carolina Central Eagles",33,81.4,100,75.2,0.924,55.9,26.6,29.3,47.6,52.8,18.5,15.9,0.4,11,43.5,37.2,20.8,16.4,55.9,18.7,5.8,12.9,31,0.33
168,"Pittsburgh Panthers",32,76.4,100,70.6,0.924,56.3,24.7,31.6,43.8,51,15.2,13,0.32,9.3,42.1,33,16.6,16.4,50.4,23.3,8,15.2,34.5,0.41
171,"Colorado Buffaloes",35,77.8,100,71.7,0.922,58.1,25.1,33,43.2,49.9,13.7,13.8,0.34,10.4,42.4,35.2,17.3,17.9,49.1,22.9,7.8,15.1,34.1,0.39
171,"Florida A&M Rattlers",31,81.5,100,75.1,0.922,59.9,26.2,33.7,43.7,49.7,13.7,14.9,0.37,12.2,43.2,38.4,19,19.4,49.5,21.5,7.2,14.4,33.3,0.36
171,"Mississippi State Bulldogs",34,80.3,100,74,0.922,58.1,25.4,32.7,43.7,51.5,15.5,13.7,0.35,9.6,41.8,32.5,16.3,16.2,50.2,25.6,9.1,16.5,35.5,0.44
171,"American University Eagles",35,73.2,100,67.5,0.922,53.5,24.3,29.2,45.4,51.2,15.3,13.6,0.34,9.1,42.9,34.4,18.1,16.3,52.7,19.1,6.2,12.9,32.3,0.36
171,"James Madison Dukes",33,76.3,100,70.3,0.922,57.7,25,32.7,43.3,49.4,13.2,13.3,0.32,10.1,42.6,37.2,18,19.2,48.3,20.5,7,13.5,34.2,0.36
171,"Xavier Musketeers",34,77.6,100,71.5,0.922,58.4,26,32.4,44.5,50.9,15,11.7,0.28,9,41.8,36.6,18.5,18.1,50.5,21.8,7.5,14.3,34.4,0.37
177,"Massachusetts Lowell",32,80.3,100,73.9,0.92,64,28.1,35.9,43.9,49.8,12.3,10.1,0.23,8.1,42.1,41.3,20.4,20.8,49.5,22.7,7.6,15.1,33.6,0.36
177,"Virginia Military Keydets",34,79.4,100,73,0.92,59.7,26.3,33.4,44,51.8,14.9,11.9,0.28,9.2,41,32,17,15,53.1,27.7,9.3,18.4,33.5,0.46
179,"Connecticut Huskies",35,73.7,100,67.7,0.919,53.9,22.7,31.2,42.1,48,13,16.3,0.41,12,42.9,35.5,16.3,19.2,45.9,18.4,6.4,12,34.8,0.34
179,"Queens University of Charlotte Royals",35,80.2,100,73.7,0.919,60.3,26.7,33.6,44.2,50.5,14.1,12.5,0.3,8.6,42.4,38,19.1,18.9,50.3,22.3,7.5,14.7,33.9,0.37
181,"Bucknell Bison",33,79.4,100,72.9,0.918,58.7,25.3,33.4,43.1,50.2,14,14.2,0.35,9.5,42.2,34.6,17,17.7,49,24,8.3,15.7,34.6,0.41
181,"Alabama A&M Bulldogs",32,85.2,100,78.2,0.918,57.4,26,31.3,45.4,52.4,17.8,16.9,0.46,11.5,43.1,36,17.9,18,49.9,21.4,8.1,13.3,37.8,0.37
181,"Rice Owls",32,76.2,100,69.9,0.918,57.8,24.2,33.7,41.8,47.7,11.4,14.6,0.36,9.8,42.8,36.7,17.3,19.4,47.2,21.1,6.8,14.3,32.3,0.36
184,"Saint Francis (PA) Red Flash",34,78,100,71.5,0.917,60.1,25.9,34.1,43.1,49.8,13.5,11.4,0.27,8.6,41.3,34.4,18,16.4,52.3,25.7,7.9,17.7,30.9,0.43
184,"Indiana Hoosiers",32,78.5,100,72,0.917,59.8,25.8,33.9,43.2,49.6,13.5,12.5,0.29,9,41.7,36.4,18.3,18.1,50.2,23.4,7.6,15.8,32.4,0.39
184,"Charleston Cougars",33,80.6,100,73.9,0.917,62.5,27.2,35.3,43.5,49.9,13.3,11.1,0.26,8.4,41.7,37.5,19.2,18.3,51.1,25,8,17,32,0.4
187,"Utah State Aggies",34,76.1,100,69.7,0.916,54.6,24,30.6,44,51.4,17,13.6,0.34,9.5,41.8,30.6,15.9,14.7,51.9,24,8.1,15.9,33.9,0.44
187,"Alabama Crimson Tide",37,88.7,100,81.2,0.916,68.4,29,39.4,42.4,47.6,11.3,13.9,0.33,9.8,42.9,44.8,21.9,22.9,48.8,23.6,7.1,16.5,30.2,0.34
187,"Lafayette Leopards",33,75,100,68.7,0.916,57.2,24.8,32.3,43.4,50.1,14.3,11.3,0.27,7.9,41.5,35.6,17.2,18.5,48.2,21.5,7.6,13.9,35.5,0.38
190,"Wisconsin-(Milwaukee) Panthers",32,77.6,100,71,0.915,57.1,25.4,31.7,44.5,51,15.8,12.7,0.31,8.1,41.8,35.1,18,17.1,51.3,22.1,7.4,14.6,33.7,0.39
190,"Morgan State Bears",32,87.8,100,80.3,0.915,63.8,28.2,35.6,44.2,50.2,14.6,14.8,0.37,11.4,42.9,41.6,20.5,21.1,49.4,22.2,7.7,14.5,34.6,0.35
192,"Incarnate Word Cardinals",35,75.8,100,69.3,0.914,55.3,24.6,30.7,44.5,50.2,15,13.9,0.35,10.9,43,37.2,18.3,18.9,49.3,18.1,6.3,11.8,34.7,0.33
192,"Penn State Nittany Lions",31,79.5,100,72.7,0.914,58.7,26.4,32.3,45,51.7,16.5,11.7,0.29,7.9,41.5,36.1,18.5,17.6,51.3,22.6,7.9,14.7,35,0.39
192,"Murray State Racers",33,74.7,100,68.3,0.914,54.5,24.5,30,44.9,49.9,15.4,14,0.35,9.3,43.1,37.2,19.1,18.1,51.3,17.4,5.4,11.9,31.2,0.32
192,"Northern Kentucky Norse",33,78.8,100,72,0.914,58,25.7,32.3,44.3,51.4,16.7,11.9,0.29,8.4,41,34.8,17.4,17.5,49.8,23.1,8.3,14.8,35.9,0.4
196,"Purdue Fort Wayne Mastodons",32,81.4,100,74.3,0.913,59.2,27.2,32,45.9,52.3,17.9,11.4,0.28,8.7,42,35.6,19.7,16,55.2,23.6,7.5,16.1,31.9,0.4
196,"Northern Iowa Panthers",33,73.6,100,67.2,0.913,55.9,24.2,31.8,43.2,50.4,14.6,11.4,0.27,8.9,41.1,32.8,16.1,16.8,49,23.1,8.1,15,35,0.41
196,"Texas-(Austin) Longhorns",35,79.3,100,72.4,0.913,58.3,24.8,33.6,42.5,48.6,13.7,15.6,0.38,10.8,42.6,36.9,17.6,19.3,47.7,21.4,7.1,14.3,33.4,0.37
196,"Samford Bulldogs",33,82.6,100,75.4,0.913,56.8,25.3,31.5,44.5,52.2,17.9,15.4,0.41,10.2,41.7,31.4,16.6,14.8,53,25.4,8.7,16.8,34.1,0.45
200,"Georgia Southern Eagles",33,82.4,100,75.2,0.913,58.7,25.2,33.4,43,49.4,14.9,16,0.42,11,42.9,35.5,17.8,17.6,50.3,23.2,7.4,15.8,32,0.4
200,"Tennessee Tech Golden Eagles",32,81.1,100,74,0.912,64.9,28.3,36.7,43.6,49.1,11.9,9.4,0.21,6.9,41.9,42.6,21,21.6,49.4,22.3,7.3,15.1,32.4,0.34
200,"Texas-(Arlington) Mavericks",31,80.5,100,73.4,0.912,60.5,25.9,34.6,42.8,48.9,13.6,13.1,0.32,9.2,42.3,39.8,18.5,21.3,46.4,20.7,7.4,13.3,35.7,0.34
200,"Fairleigh Dickinson Knights",32,80.4,100,73.4,0.912,60.7,26.8,33.9,44.2,49.7,14.5,11.7,0.29,8,42.3,38,20,18,52.6,22.7,6.8,15.9,29.9,0.37
200,"Evansville Aces",32,77.2,100,70.4,0.912,57.4,24,33.5,41.7,49.1,13.8,13,0.33,8.9,41.4,31.8,15.5,16.3,48.7,25.7,8.5,17.2,33.1,0.45
200,"Baylor Bears",35,76.4,100,69.7,0.912,55.7,24.3,31.3,43.7,51,15.6,13,0.33,9,41.9,32.8,16.3,16.6,49.5,22.8,8.1,14.7,35.4,0.41
206,"Santa Clara Broncos",34,79.7,100,72.7,0.911,60.1,25.9,34.2,43.1,49.2,13.8,13.2,0.31,9.6,41.6,36.3,18.5,17.8,51,23.9,7.4,16.4,31.1,0.4
206,"Southern Miss Golden Eagles",33,82.8,100,75.5,0.911,62,26.8,35.2,43.3,49.3,13.6,13.3,0.33,9.9,42.3,38.2,19.3,18.9,50.4,23.8,7.5,16.2,31.7,0.38
206,"Missouri Tigers",34,80.5,100,73.4,0.911,57.6,25.5,32.2,44.2,50.5,17.1,13.7,0.35,9.3,41.9,35.5,18.2,17.3,51.2,22.1,7.3,14.9,32.8,0.38
209,"Jackson State Tigers",34,81.3,100,74,0.91,61.1,26.4,34.7,43.1,50.2,14.6,12.1,0.29,8.8,41,35.9,17.7,18.1,49.5,25.2,8.6,16.6,34.1,0.41
209,"Georgia Tech Yellow Jackets",34,79.4,100,72.2,0.91,60.9,25.6,35.4,41.9,49.1,13.2,11.6,0.28,8.5,41.1,36.2,16.9,19.3,46.6,24.7,8.7,16.1,35.1,0.41
211,"Boise State Broncos",37,73.4,100,66.7,0.909,55.3,24,31.3,43.4,49.8,14.1,13,0.3,9.6,41.4,34.6,16.8,17.8,48.6,20.7,7.2,13.5,34.6,0.37
212,"Montana State Bobcats",33,76.2,100,69.2,0.908,58.2,25.1,33.1,43.2,47.9,13,12.6,0.3,9.5,42.6,39.8,19.6,20.2,49.3,18.4,5.5,12.9,29.9,0.32
212,"Towson Tigers",34,73.1,100,66.4,0.908,55.1,23.9,31.2,43.4,49.8,14.5,12.5,0.3,9.4,41.3,33.8,16.8,17,49.7,21.3,7.1,14.2,33.4,0.39
212,"Massachusetts Minutemen",32,82.6,100,74.9,0.908,60.5,25.9,34.6,42.8,49.4,14.6,14,0.35,9.6,41.7,36.2,17.9,18.3,49.6,24.3,7.9,16.3,32.7,0.4
212,"South Florida Bulls",32,81.8,100,74.3,0.908,59.8,25.7,34.1,42.9,49.1,15.1,14.1,0.35,10.7,41.9,37,18.3,18.7,49.4,22.8,7.4,15.4,32.4,0.38
216,"Loyola Marymount Lions",32,78.6,100,71.3,0.907,60.7,25.7,35,42.3,48.1,12.9,12,0.28,8.7,41.3,38.5,18.6,19.9,48.4,22.2,7.1,15.1,31.8,0.37
216,"Utah Utes",33,79.8,100,72.4,0.907,60,25.2,34.8,42,48.8,13.1,13.4,0.33,8.8,41.4,35.8,17,18.8,47.5,24.2,8.2,16,33.9,0.4
216,"Illinois Fighting Illini",35,82,100,74.4,0.907,65.7,27.7,38.1,42.1,47.2,10.2,11.8,0.26,8.9,42.1,45.7,21,24.7,45.9,20.1,6.7,13.3,33.5,0.31
216,"Northwestern Wildcats",33,75.5,100,68.5,0.907,54.2,23.4,30.8,43.1,49.7,16.5,14.5,0.36,10,41.6,32.9,16.2,16.6,49.4,21.4,7.2,14.2,33.5,0.39
216,"Wichita State Shockers",34,80.3,100,72.8,0.907,62,26.7,35.3,43.1,49.5,12.7,11.7,0.28,8.6,41.5,38.1,18.8,19.3,49.4,24,7.9,16,33.1,0.39
221,"Tennessee-Martin Skyhawks",33,79.2,100,71.8,0.906,58.2,24.5,33.8,42,50.1,15.3,13.2,0.33,9.4,40.5,29.9,15.1,14.8,50.5,28.3,9.4,18.9,33.1,0.49
221,"TCU Horned Frogs",32,75.5,100,68.4,0.906,56.2,24.8,31.4,44,50.8,16,11.3,0.28,8,41.4,32.4,17.2,15.2,53.2,23.8,7.5,16.3,31.6,0.42
221,"Nebraska Cornhuskers",35,80.1,100,72.6,0.906,60.9,25.9,35,42.5,50.2,14.8,11.1,0.26,8.1,40.3,33,16.5,16.5,49.9,27.9,9.4,18.5,33.7,0.46
224,"Southern Indiana Screaming Eagles",30,80.4,100,72.8,0.905,59.5,25.9,33.5,43.6,50,14.1,13.6,0.33,9.4,42.3,37.9,18.4,19.6,48.4,21.5,7.6,14,35.1,0.36
224,"Brown Bears",27,78.7,100,71.3,0.905,60.4,25.8,34.6,42.7,48.9,13,11.9,0.29,8.6,41.6,37.8,18.4,19.4,48.6,22.6,7.4,15.1,33,0.37
224,"California Baptist Lancers",32,77.3,100,70,0.905,56.8,25.6,31.3,45,50.2,15,13.8,0.33,10.1,42.7,39,19.7,19.4,50.4,17.8,5.9,11.9,33.2,0.31
224,"Alabama State Hornets",36,79.6,100,72,0.905,56.8,24.7,32.1,43.4,50,15.9,14.9,0.38,11.1,42,34,17.2,16.8,50.5,22.8,7.5,15.3,32.9,0.4
224,"Delaware State Hornets",30,82,100,74.2,0.905,57.9,25.7,32.2,44.3,50.6,17.2,14.7,0.38,10.9,41.7,34.6,18.4,16.2,53.2,23.3,7.3,16.1,31.1,0.4
224,"Central Michigan Chippewas",31,79.4,100,71.8,0.905,59.1,25.5,33.6,43.2,50.5,15.6,12,0.29,8.5,40.8,33.2,16.9,16.4,50.8,25.9,8.6,17.3,33.4,0.44
230,"Rhode Island Rams",31,82.1,100,74.2,0.904,62.7,26.6,36.1,42.5,48.8,13.4,12.1,0.29,9,41.1,37.7,18.7,19,49.7,25,7.9,17.1,31.6,0.4
230,"Winthrop Eagles",34,85.8,100,77.5,0.904,61.8,26.9,34.9,43.5,50.1,16.1,14,0.35,9.5,41.5,38.2,18.7,19.4,49.1,23.6,8.1,15.5,34.5,0.38
230,"Yale Bulldogs",30,77.4,100,69.9,0.904,59,24.1,34.9,40.8,48.6,13.4,11.8,0.28,7.5,40.1,30.8,14.9,15.9,48.4,28.1,9.1,19,32.5,0.48
233,"Jacksonville State Gamecocks",36,75.6,100,68.3,0.903,60.1,24.5,35.6,40.8,48,11.1,10.9,0.25,8.1,40.4,34.8,15.8,18.9,45.6,25.3,8.7,16.6,34.2,0.42
