sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
352,"Central Connecticut State Blue Devils",32,75,100,62.5,0.833,58.7,24,34.8,40.8,47.2,15.5,7.6,0.18,6.6,37.6,34.3,16.5,17.8,48.1,24.4,7.5,17,30.6,0.42
352,"George Mason Patriots",36,76.3,100,63.5,0.833,56.9,21.6,35.3,38,45,15.2,12.4,0.3,9.1,37.2,30.7,13.6,17.1,44.3,26.3,8,18.3,30.5,0.46
354,"San Diego State Aztecs",31,77.2,100,64.1,0.831,55.7,21.1,34.6,37.8,45,16,14.1,0.36,9.9,37.3,29.7,13,16.7,43.9,26,8,17.9,30.9,0.47
355,"Arkansas-(Little Rock) Trojans",33,80.6,100,66.9,0.83,56.4,22.1,34.3,39.2,45.9,17.4,13.5,0.37,10.4,38.3,31.7,14.5,17.2,45.8,24.7,7.6,17.1,30.8,0.44
356,"Liberty Flames",35,76.3,100,63.3,0.829,58.5,23.5,35,40.2,45.2,15,10.4,0.24,8.6,38.2,37.8,17.6,20.2,46.5,20.8,5.9,14.8,28.6,0.35
357,"Troy Trojans",35,77.6,100,64.3,0.828,57.1,22.9,34.2,40.1,46,16.6,11.8,0.29,8.8,37.9,35.6,16,19.6,45,21.5,6.8,14.6,31.8,0.38
357,"Duke Blue Devils",39,75,100,62.1,0.828,58.2,22.2,36,38.2,44.2,13.5,10.8,0.25,7.5,37.5,35.7,15.3,20.5,42.7,22.5,7,15.5,31,0.39
359,"UC Irvine Anteaters",39,80.4,100,66.4,0.826,62.5,24.5,38,39.2,45.5,14.5,9.5,0.22,6.5,36.9,39.2,16.6,22.6,42.4,23.3,7.8,15.4,33.7,0.37
360,"Merrimack Warriors",33,77.5,100,64,0.825,55.8,22.9,32.9,41.1,46.7,18.3,12,0.3,8.9,38,35.3,16.7,18.6,47.3,20.5,6.2,14.2,30.5,0.37
361,"Virginia Commonwealth Rams",35,76.8,100,62.4,0.813,54.9,21.3,33.6,38.8,44.1,16.6,13.9,0.36,9.7,38.2,35.6,15.5,20.1,43.6,19.3,5.8,13.5,30.1,0.35
362,"St. John's Red Storm",36,81,100,65.7,0.811,58.6,23.3,35.4,39.6,45.9,17.2,12.2,0.3,8.7,37.4,34.6,15.9,18.7,46,24.1,7.3,16.7,30.5,0.41
363,"Houston Cougars",40,72,100,58.3,0.81,51.6,19.6,32,38,44.5,17,13.3,0.34,9.9,37.2,29.2,12.9,16.3,44.1,22.4,6.7,15.7,30,0.43
364,"UC San Diego Tritons",35,76.2,100,61.3,0.804,53.8,21.2,32.6,39.4,46.6,20.1,11.1,0.28,7.6,35.8,30,13.4,16.6,44.7,23.8,7.8,16,32.7,0.44
